po_id,intake_id,vendor_id,vendor_name,po_date,category,department,po_amount,status,cycle_time_days,error_flag,compliance_flag
PO-2228,INT-1008,V010,BuildRight Facilities,2024-02-19,Consulting,HR,172780.25,Pending Approval,3,No,Compliant
PO-2229,INT-1069,V001,TechNova Solutions,2024-02-22,Logistics,Marketing,390135.24,Open,2,No,Compliant
PO-2230,INT-1058,V009,CapitalSoft,2024-02-02,Facilities,IT,5440.1,Cancelled,2,Yes,Compliant
PO-2231,INT-1118,V010,BuildRight Facilities,2024-02-02,Facilities,Finance,483545.2,Closed,4,No,Compliant
PO-2232,INT-1002,V004,OfficeEdge Corp,2024-03-06,Consulting,Operations,338920.88,Pending Approval,4,Yes,Compliant
PO-2233,INT-1087,V006,EcoSupply Co,2024-02-05,Facilities,HR,297292.5,Open,1,No,Compliant
PO-2234,INT-1133,V006,EcoSupply Co,2024-01-31,Consulting,Finance,328403.68,On Hold,3,No,Compliant
PO-2235,INT-1067,V001,TechNova Solutions,2024-02-23,Office Supplies,HR,330604.63,Closed,1,No,Compliant
PO-2236,INT-1176,V007,DataMind Analytics,2024-03-01,Facilities,Operations,18624.18,Pending Approval,2,No,Compliant
PO-2237,INT-1121,V006,EcoSupply Co,2024-01-17,Consulting,HR,422864.2,Pending Approval,2,No,Compliant
PO-2238,INT-1091,V005,CloudSystems Ltd,2024-01-29,Logistics,Legal,381696.19,Open,3,No,Compliant
PO-2239,INT-1014,V005,CloudSystems Ltd,2024-01-10,Consulting,Operations,186469.53,Closed,4,No,Non-Compliant
PO-2240,INT-1039,V008,SwiftShip Partners,2024-01-18,Logistics,Marketing,60788.15,Closed,3,No,Compliant
PO-2241,INT-1184,V004,OfficeEdge Corp,2024-01-24,Office Supplies,Finance,493608.61,Cancelled,4,No,Compliant
PO-2242,INT-1071,V002,GreenBridge Logistics,2024-01-27,Consulting,Operations,315885.35,Open,1,No,Non-Compliant
PO-2243,INT-1163,V003,PrimeConsult Inc,2024-02-24,Hardware,HR,245298.97,Pending Approval,1,No,Non-Compliant
PO-2244,INT-1083,V007,DataMind Analytics,2024-01-25,Office Supplies,Operations,192274.89,Open,2,No,Compliant
PO-2245,INT-1027,V001,TechNova Solutions,2024-02-19,Software,Legal,313716.78,Open,3,No,Compliant
PO-2246,INT-1187,V009,CapitalSoft,2024-02-13,Consulting,HR,84343.07,Pending Approval,3,No,Non-Compliant
PO-2247,INT-1104,V007,DataMind Analytics,2024-01-03,Hardware,Legal,172023.69,Cancelled,3,No,Compliant
PO-2248,INT-1032,V004,OfficeEdge Corp,2024-02-16,Facilities,Marketing,492454.88,Open,1,Yes,Compliant
PO-2249,INT-1170,V001,TechNova Solutions,2024-01-14,Facilities,Operations,128638.8,Closed,1,Yes,Compliant
PO-2250,INT-1122,V001,TechNova Solutions,2024-01-20,Facilities,IT,58779.12,Closed,1,Yes,Compliant
PO-2251,INT-1160,V004,OfficeEdge Corp,2024-01-18,Facilities,Legal,315525.36,Closed,1,Yes,Compliant
PO-2252,INT-1051,V007,DataMind Analytics,2024-01-26,Logistics,IT,359664.35,Open,1,No,Non-Compliant
PO-2253,INT-1054,V005,CloudSystems Ltd,2024-03-02,Hardware,HR,179603.0,Closed,2,No,Non-Compliant
PO-2254,INT-1039,V006,EcoSupply Co,2024-01-12,Software,Marketing,7361.95,Open,1,Yes,Non-Compliant
PO-2255,INT-1068,V009,CapitalSoft,2024-02-29,Facilities,IT,362064.55,Cancelled,2,No,Compliant
PO-2256,INT-1190,V001,TechNova Solutions,2024-01-15,Hardware,IT,437196.08,Cancelled,3,No,Non-Compliant
PO-2257,INT-1113,V002,GreenBridge Logistics,2024-02-04,Software,IT,426147.36,Closed,2,No,Compliant
PO-2258,INT-1177,V002,GreenBridge Logistics,2024-03-02,Consulting,Finance,92251.84,Closed,4,No,Non-Compliant
PO-2259,INT-1107,V007,DataMind Analytics,2024-03-02,Hardware,Legal,57415.22,Closed,1,No,Compliant
PO-2260,INT-1176,V010,BuildRight Facilities,2024-01-17,Office Supplies,Legal,91449.02,Closed,3,Yes,Compliant
PO-2261,INT-1004,V008,SwiftShip Partners,2024-01-29,Software,Operations,443909.37,Closed,1,No,Compliant
PO-2262,INT-1089,V006,EcoSupply Co,2024-02-19,Logistics,HR,344432.58,Closed,4,No,Non-Compliant
PO-2263,INT-1127,V003,PrimeConsult Inc,2024-01-22,Logistics,HR,28228.49,Closed,2,Yes,Non-Compliant
PO-2264,INT-1141,V002,GreenBridge Logistics,2024-02-18,Consulting,Operations,121205.02,On Hold,1,Yes,Compliant
PO-2265,INT-1115,V007,DataMind Analytics,2024-02-10,Software,Marketing,230088.2,Pending Approval,4,No,Non-Compliant
PO-2266,INT-1024,V002,GreenBridge Logistics,2024-02-08,Facilities,Operations,327033.13,Open,4,No,Compliant
PO-2267,INT-1058,V009,CapitalSoft,2024-02-28,Hardware,HR,327643.4,Closed,3,No,Compliant
PO-2268,INT-1025,V006,EcoSupply Co,2024-01-29,Logistics,HR,300375.62,Pending Approval,3,No,Compliant
PO-2269,INT-1180,V001,TechNova Solutions,2024-01-14,Consulting,Finance,415112.06,On Hold,3,Yes,Compliant
PO-2270,INT-1157,V001,TechNova Solutions,2024-01-26,Office Supplies,Marketing,71084.14,Pending Approval,4,No,Compliant
PO-2271,INT-1194,V004,OfficeEdge Corp,2024-02-23,Office Supplies,IT,108579.16,Pending Approval,2,No,Compliant
PO-2272,INT-1128,V001,TechNova Solutions,2024-01-01,Facilities,Legal,294816.74,Pending Approval,4,No,Compliant
PO-2273,INT-1178,V009,CapitalSoft,2024-01-23,Software,Legal,277059.94,Closed,4,Yes,Compliant
PO-2274,INT-1108,V003,PrimeConsult Inc,2024-02-01,Office Supplies,IT,329103.38,Closed,3,Yes,Non-Compliant
PO-2275,INT-1155,V005,CloudSystems Ltd,2024-03-06,Consulting,Operations,485275.33,Closed,2,No,Non-Compliant
PO-2276,INT-1160,V005,CloudSystems Ltd,2024-02-07,Logistics,Legal,430493.07,Pending Approval,2,No,Compliant
PO-2277,INT-1182,V006,EcoSupply Co,2024-01-15,Hardware,Legal,490686.41,Closed,2,Yes,Compliant
PO-2278,INT-1109,V006,EcoSupply Co,2024-01-02,Office Supplies,HR,291820.33,Cancelled,4,Yes,Compliant
PO-2279,INT-1193,V009,CapitalSoft,2024-01-21,Software,IT,191054.29,Open,1,No,Compliant
PO-2280,INT-1092,V005,CloudSystems Ltd,2024-02-27,Consulting,Legal,74067.77,Open,3,No,Compliant
PO-2281,INT-1178,V002,GreenBridge Logistics,2024-01-07,Facilities,HR,370006.75,Cancelled,4,No,Compliant
PO-2282,INT-1004,V007,DataMind Analytics,2024-02-02,Office Supplies,Operations,478394.28,On Hold,3,Yes,Compliant
PO-2283,INT-1199,V004,OfficeEdge Corp,2024-01-25,Office Supplies,HR,415161.76,Cancelled,3,Yes,Compliant
PO-2284,INT-1097,V005,CloudSystems Ltd,2024-01-06,Hardware,Operations,491743.21,Open,2,Yes,Compliant
PO-2285,INT-1120,V007,DataMind Analytics,2024-01-20,Logistics,Finance,132855.56,Open,3,No,Compliant
PO-2286,INT-1019,V001,TechNova Solutions,2024-02-10,Consulting,Marketing,298843.29,Pending Approval,3,No,Compliant
PO-2287,INT-1024,V009,CapitalSoft,2024-02-14,Hardware,Marketing,260782.54,Pending Approval,2,No,Non-Compliant
PO-2288,INT-1144,V004,OfficeEdge Corp,2024-01-02,Facilities,Marketing,166609.87,Closed,2,Yes,Non-Compliant
PO-2289,INT-1098,V002,GreenBridge Logistics,2024-01-15,Consulting,Legal,223387.96,Cancelled,2,No,Compliant
PO-2290,INT-1125,V007,DataMind Analytics,2024-01-06,Logistics,Finance,362263.83,Open,3,Yes,Non-Compliant
PO-2291,INT-1161,V005,CloudSystems Ltd,2024-01-09,Hardware,Legal,160836.07,Open,1,No,Compliant
PO-2292,INT-1138,V004,OfficeEdge Corp,2024-02-25,Facilities,Legal,387017.55,Cancelled,4,No,Compliant
PO-2293,INT-1019,V002,GreenBridge Logistics,2024-01-07,Facilities,Legal,77723.53,Closed,3,No,Compliant
PO-2294,INT-1116,V003,PrimeConsult Inc,2024-02-21,Logistics,Finance,36150.6,Pending Approval,3,No,Non-Compliant
PO-2295,INT-1194,V007,DataMind Analytics,2024-01-06,Software,Finance,195361.43,Open,1,Yes,Compliant
PO-2296,INT-1073,V002,GreenBridge Logistics,2024-02-26,Logistics,Finance,53961.64,Pending Approval,3,Yes,Compliant
PO-2297,INT-1140,V007,DataMind Analytics,2024-02-07,Facilities,Operations,16378.76,Open,2,No,Non-Compliant
PO-2298,INT-1032,V003,PrimeConsult Inc,2024-01-06,Facilities,Finance,443602.08,On Hold,3,No,Compliant
PO-2299,INT-1192,V001,TechNova Solutions,2024-02-14,Logistics,HR,197646.77,Closed,1,No,Compliant
PO-2300,INT-1050,V004,OfficeEdge Corp,2024-01-15,Facilities,Operations,425877.97,Open,2,No,Compliant
